Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
19.4,10.6,49.3,10,1630,2022,12,14
1.4,0.0,24.6,7,1751,2023,9,13
4.1,8.6,27.2,22,532,2023,2,7
2.0,0.1,2.4,7,331,2023,9,24
12.0,11.5,55.4,10,1226,2023,1,2
11.74,5.26,19.0,21,785,2023,6,25
17.9,1.7,23.7,16,1646,2023,9,18
9.7,7.0,15.4,18,986,2023,4,16
11.51,5.39,12.9,20,1110,2023,5,31
11.6,5.3,39.8,14,1857,2023,1,31
4.1,4.4,19.29,12,1633,2023,2,22
69.5,8.2,28.1,23,383,2022,11,17
48.3,2.7,26.7,15,1853,2022,10,20
0.0,1.2,6.9,3,50,2023,1,2
13.88,5.51,16.6,6,853,2023,8,28
14.96,6.7,14.5,19,930,2023,9,2
0.0,1.0,3.4,8,220,2023,1,15
5.1,4.1,25.1,12,1641,2022,12,23
22.32,12.239999999999998,31.8,18,1153,2023,8,14
2.25,1.39,3.0,4,50,2023,8,8
13.2,7.6,37.6,22,695,2022,12,26
0.5,1.4,5.9,2,501,2023,2,12
1.2,0.0,12.7,16,1857,2023,2,8
4.6,6.5,8.3,11,1573,2023,3,22
33.2,25.1,44.3,16,1833,2022,12,2
20.5,11.4,19.3,19,859,2022,11,6
60.98,8.35,10.7,21,641,2023,7,10
6.7,1.5,11.1,13,1209,2023,9,10
0.0,0.4,17.6,13,1788,2023,2,27
3.7,3.9,4.4,21,709,2023,3,11
2.41,1.16,2.8,1,126,2023,8,22
20.96,6.49,14.1,4,76,2023,5,8
13.12,5.369999999999999,10.3,13,1501,2023,7,13
0.4,3.5,13.8,9,1307,2023,2,23
8.0,2.5,10.0,20,955,2023,3,1
9.86,3.51,4.1,22,-,2023,5,27
10.65,3.69,11.3,18,1157,2023,5,16
6.0,6.8,14.2,18,960,2023,2,26
26.1,6.2,23.73,9,1411,2023,9,28
10.3,5.48,8.7,10,824,2023,8,13
84.1,10.6,41.7,20,978,2023,3,28
12.35,4.94,15.0,11,1509,2023,8,8
5.6,4.4,6.5,18,1295,2022,11,10
52.4,10.8,35.9,17,1344,2022,10,21
7.130000000000001,2.94,5.7,1,115,2023,7,17
13.0,2.1,3.1,3,63,2022,11,16
3.4,3.0,15.0,4,101,2023,3,16
6.0,5.2,21.1,14,1866,2023,1,25
3.0,2.5,28.3,11,1551,2023,1,24
35.2,16.7,13.7,22,615,2022,11,14
0.0,0.0,1.3,1,65,2023,9,13
5.1,3.7,15.53,17,1497,2022,10,7
21.7,6.34,24.3,9,1112,2023,7,10
22.2,4.5,26.2,17,1239,2023,9,25
25.9,10.5,19.0,15,2355,2023,6,20
10.8,8.6,26.71,19,957,2022,10,7
31.95,10.73,21.2,18,1266,2023,4,26
0.3,0.0,2.1,1,131,2022,11,4
9.94,4.359999999999999,9.8,6,572,2023,8,4
12.56,4.109999999999999,12.0,18,1094,2023,7,31
20.38,8.260000000000002,25.3,6,804,2023,8,17
6.3,4.95,11.4,17,1272,2023,7,31
8.8,4.7,17.7,11,1575,2023,6,27
5.34,2.64,1.9,2,291,2023,5,27
1.7,3.3,16.1,11,880,2023,3,19
10.3,7.9,51.4,10,1450,2023,1,13
0.5,2.1,7.1,23,241,2023,1,17
5.62,4.97,8.8,2,348,2023,5,6
22.4,9.4,31.0,8,1850,2023,6,20
0.6,2.9,4.9,0,119,2023,1,30
17.1,10.0,25.4,21,805,2022,11,21
8.17,4.51,8.3,2,87,2023,6,27
5.470000000000001,4.76,4.5,21,871,2023,5,9
3.9,4.2,13.3,21,741,2023,2,10
4.1000000000000005,1.5599999999999998,2.4,2,79,2023,7,19
5.0600000000000005,2.29,3.1,5,114,2023,7,18
25.0,16.8,43.2,13,1827,2023,6,14
3.6,2.7,5.0,15,1299,2023,4,10
11.5,4.17,12.5,7,1815,2023,8,31
16.8,14.5,18.8,12,1182,2022,12,4
2.8,1.6,12.32,20,931,2022,10,5
7.8,6.5,5.7,0,209,2023,4,21
